NAME,0.0,1.0S,10.0S,1.0MI,10.0MI,1.0HR,10.0HR,1.0D,10.0D,50.0D,100.0D,142.0D
U-230,0.0,0.0,0.0,0.0,3.5179999999999997e-23,1.555e-21,1.558e-19,8.926e-19,8.242e-17,1.575e-15,5.418e-15,1.126e-14
U-231,0.0,0.0,0.0,9.421e-23,9.686e-21,3.481e-19,3.412e-17,1.906e-16,1.26e-14,1.204e-13,3.533e-13,6.898e-13
U-232,0.0,3.494e-14,3.494e-13,2.096e-12,2.096e-11,1.258e-10,1.258e-09,3.019e-09,3.028e-08,1.59e-07,3.578e-07,5.938e-07
U-233,0.0,1.421e-12,1.421e-11,8.527e-11,8.527e-10,5.116e-09,5.113e-08,1.226e-07,1.208e-06,5.628e-06,1.018e-05,1.311e-05
U-234,3.45,3.45,3.45,3.45,3.45,3.45,3.448,3.445,3.404,3.211,2.953,2.717
U-235,487.6,487.6,487.6,487.6,487.6,487.5,486.9,486.0,471.8,409.5,334.2,273.1
U-236,3.2,3.2,3.2,3.2,3.202,3.212,3.325,3.499,6.178,17.72,31.23,41.68
U-237,0.0,2.593e-08,2.593e-07,1.556e-06,1.556e-05,9.328e-05,0.0009266,0.002201,0.0195,0.08369,0.1763,0.2802
U-238,1971.0,1971.0,1971.0,1971.0,1971.0,1971.0,1971.0,1971.0,1969.0,1964.0,1956.0,1948.0
U-239,0.0,1.365e-06,1.362e-05,8.072e-05,0.0007095,0.002306,0.002783,0.002787,0.002822,0.003013,0.003451,0.004065
U-240,0.0,1.333e-16,1.331e-14,4.75e-13,4.348e-11,1.019e-09,1.46e-08,2.698e-08,4.097e-08,4.683e-08,6.168e-08,8.596e-08
U-241,0.0,0.0,0.0,4.0179999999999996e-23,3.678e-21,8.619e-20,1.236e-18,2.288e-18,3.519e-18,4.307e-18,6.524e-18,1.076e-17
